StrainID,ShortStrainCode,RRNATaxonomy,StrainIdentifierValue,StrainNameAlt,RCAMCollectionID
"797","IB2019U15-1","","IB2019U15-1","IB2019U15-1",""
"798","IB2019U15-2","","IB2019U15-2","IB2019U15-2",""
"799","IB2019U12-1","","IB2019U12-1","IB2019U12-1",""
"800","IB2019U12-2","","IB2019U12-2","IB2019U12-2",""
"801","IB2019U12-3","","IB2019U12-3","IB2019U12-3",""
"802","IB2019U12-4","","IB2019U12-4","IB2019U12-4",""
"803","IB2019U14-1","","IB2019U14-1","IB2019U14-1",""
"804","IB2019U14-2","","IB2019U14-2","IB2019U14-2",""
"805","IB2019U14-3","","IB2019U14-3","IB2019U14-3",""
"806","IB2019U14-4","","IB2019U14-4","IB2019U14-4",""
